date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.2000,2468.6934,1.1000,0.5643,0.0292,0.1709,5329,4375,82.10
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,447.5046,1.1000,0.1849,0.0187,0.1369,5329,2420,45.41
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,3.8000,2071.9097,3.7000,0.4715,0.0340,0.1845,5329,4394,82.45
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.0000,2192.6970,0.9000,0.4992,0.0258,0.1607,5329,4392,82.42
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.8000,1145.6990,0.7000,0.2730,0.0168,0.1296,5329,4196,78.74
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.7000,449.8003,0.6000,0.3111,0.0301,0.1735,5329,1446,27.13
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.0000,1038.1952,0.9000,0.3645,0.0381,0.1952,5329,2848,53.44
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,1330.8953,0.9000,0.3436,0.0316,0.1776,5329,3873,72.68
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,624.4960,0.4000,0.1845,0.0102,0.1011,5329,3384,63.50
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.1000,1775.4065,1.0000,0.4104,0.0215,0.1468,5329,4326,81.18
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.6000,127.5993,0.5000,0.1387,0.0083,0.0911,5329,920,17.26
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.2000,135.9995,1.1000,0.1273,0.0099,0.0996,5329,1068,20.04
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.3000,89.0992,0.2000,0.1042,0.0005,0.0233,5329,855,16.04
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.3000,201.7025,2.2000,0.1384,0.0110,0.1050,5329,1457,27.34
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,198.5027,0.4000,0.1100,0.0013,0.0360,5329,1805,33.87
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.6000,124.4989,0.5000,0.1133,0.0026,0.0512,5329,1099,20.62
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.1000,2144.9062,1.0000,0.4880,0.0277,0.1665,5329,4395,82.47
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.6000,936.8873,1.5000,0.2753,0.0343,0.1851,5329,3403,63.86
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.2000,2090.0112,1.1000,0.4755,0.0268,0.1638,5329,4395,82.47
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.0000,1904.0133,0.9000,0.4332,0.0217,0.1473,5329,4395,82.47
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.1000,2332.0056,1.0000,0.5307,0.0264,0.1623,5329,4394,82.45
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.4000,2214.7166,1.3000,0.5039,0.0342,0.1849,5329,4395,82.47
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,1.5000,2808.6848,1.4000,0.6391,0.0378,0.1944,5329,4395,82.47
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,0.3000,21.1000,0.2000,0.1319,0.0028,0.0529,5329,160,3.00
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.8000,3636.4939,1.7000,0.8274,0.0510,0.2259,5329,4395,82.47
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.8000,4054.1863,2.7000,0.9466,0.0649,0.2547,5329,4283,80.37
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,6.0000,5033.9897,5.9000,1.1462,0.1297,0.3601,5329,4392,82.42
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.4000,6316.8027,6.3000,1.4376,0.3820,0.6181,5329,4394,82.45
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,6.5000,5517.2983,6.3000,1.2882,0.3140,0.5604,5329,4283,80.37
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.4000,7549.8047,6.3000,1.7182,0.7028,0.8383,5329,4394,82.45
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,6.8000,8385.5332,6.6000,1.9106,0.9167,0.9574,5329,4389,82.36
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.7000,4372.6987,6.6000,1.4733,1.2128,1.1013,5329,2968,55.70
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.3000,6.8000,10290.2168,6.5000,2.3499,1.8106,1.3456,5329,4379,82.17
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.7000,3895.5884,6.6000,1.4084,1.2508,1.1184,5329,2766,51.90
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,6.6000,10316.9268,6.4000,2.3533,1.7391,1.3187,5329,4384,82.27
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,6.8000,11151.0342,6.6000,2.5564,2.4722,1.5723,5329,4362,81.85
