date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,3.2000,2675.3831,3.1000,0.7378,0.0721,0.2686,5329,3626,68.04
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.1000,1157.7949,2.0000,0.4279,0.0451,0.2124,5329,2706,50.78
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.6000,2302.0852,2.5000,0.6361,0.0490,0.2213,5329,3619,67.91
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.8000,2716.2839,2.7000,0.7493,0.0595,0.2440,5329,3625,68.02
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.4000,2518.9902,3.3000,0.6986,0.0564,0.2375,5329,3606,67.67
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.2000,1598.9960,2.1000,0.5527,0.0730,0.2701,5329,2893,54.29
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,4.1000,785.1940,4.0000,0.4948,0.1232,0.3510,5329,1587,29.78
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,5.4000,97.1998,5.3000,0.5226,0.5599,0.7483,5329,186,3.49
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,6.8000,69.5999,6.7000,0.5752,0.9582,0.9789,5329,121,2.27
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.3000,194.2006,4.2000,0.4992,0.2104,0.4586,5329,389,7.30
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.7000,170.8001,1.6000,0.6724,0.1318,0.3630,5329,254,4.77
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.3000,231.7000,4.2000,0.4787,0.1630,0.4037,5329,484,9.08
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.5000,205.4007,1.4000,0.5174,0.1907,0.4366,5329,397,7.45
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.8000,340.9014,1.7000,0.5720,0.0942,0.3069,5329,596,11.18
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.3000,108.1998,1.2000,0.2924,0.0390,0.1975,5329,370,6.94
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.0000,177.7003,0.9000,0.4592,0.0811,0.2847,5329,387,7.26
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.5000,615.4971,1.4000,0.3825,0.0378,0.1945,5329,1609,30.19
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.0000,483.3012,0.9000,0.3474,0.0345,0.1857,5329,1391,26.10
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.7000,905.2983,1.6000,0.5437,0.0501,0.2239,5329,1665,31.24
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.6000,1709.6885,1.5000,0.5404,0.0264,0.1624,5329,3164,59.37
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.2000,1631.7910,1.1000,0.5213,0.0189,0.1374,5329,3130,58.74
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,3.9000,3086.7852,3.8000,0.8508,0.0389,0.1971,5329,3628,68.08
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,4.4000,3229.4924,4.3000,0.8963,0.0769,0.2774,5329,3603,67.61
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.1000,40.0999,1.0000,0.2604,0.0465,0.2157,5329,154,2.89
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,4.2000,3238.3884,4.1000,0.8926,0.0493,0.2220,5329,3628,68.08
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,3.2000,3903.7869,3.1000,1.0763,0.0577,0.2402,5329,3627,68.06
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.3000,4122.8022,4.2000,1.1364,0.0857,0.2927,5329,3628,68.08
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,4.6000,4052.4070,4.5000,1.1173,0.0886,0.2976,5329,3627,68.06
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.6000,3260.9949,6.5000,0.9852,0.1366,0.3695,5329,3310,62.11
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,5.1000,4508.4106,5.0000,1.2427,0.1154,0.3397,5329,3628,68.08
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.0000,4606.1118,4.9000,1.2696,0.0906,0.3009,5329,3628,68.08
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.1000,5314.4116,6.0000,1.4652,0.1738,0.4169,5329,3627,68.06
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,6.5000,8135.7871,6.4000,2.2431,0.8932,0.9451,5329,3627,68.06
