date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,3.2000,2625.4817,3.1000,0.7377,0.0721,0.2685,5329,3559,66.79
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.1000,1135.5942,2.0000,0.4276,0.0447,0.2115,5329,2656,49.84
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.6000,2263.9836,2.5000,0.6372,0.0492,0.2218,5329,3553,66.67
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.8000,2672.0833,2.7000,0.7510,0.0605,0.2460,5329,3558,66.77
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,3.4000,2474.3872,3.3000,0.6994,0.0557,0.2360,5329,3538,66.39
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.2000,1599.6949,2.1000,0.5553,0.0706,0.2656,5329,2881,54.06
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,5.2000,777.3940,5.1000,0.5022,0.1404,0.3747,5329,1548,29.05
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,5.4000,98.5998,5.3000,0.5273,0.5578,0.7469,5329,187,3.51
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,6.8000,73.4999,6.7000,0.6074,0.9675,0.9836,5329,121,2.27
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,5.0000,196.3005,4.9000,0.5249,0.2727,0.5222,5329,374,7.02
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.7000,166.1001,1.6000,0.6671,0.1282,0.3580,5329,249,4.67
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.3000,233.6999,4.2000,0.4941,0.1694,0.4116,5329,473,8.88
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.5000,211.2007,1.4000,0.5429,0.1951,0.4418,5329,389,7.30
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.8000,331.7011,1.7000,0.5769,0.0930,0.3050,5329,575,10.79
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.3000,111.6998,1.2000,0.3011,0.0423,0.2057,5329,371,6.96
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.1000,173.9002,1.0000,0.4700,0.0875,0.2958,5329,370,6.94
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.5000,609.1974,1.4000,0.3880,0.0393,0.1982,5329,1570,29.46
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.0000,470.0011,0.9000,0.3464,0.0356,0.1887,5329,1357,25.46
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.7000,898.4982,1.6000,0.5472,0.0527,0.2295,5329,1642,30.81
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.9000,1697.1885,1.8000,0.5433,0.0293,0.1712,5329,3124,58.62
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.2000,1605.5903,1.1000,0.5215,0.0191,0.1381,5329,3079,57.78
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,3.9000,3042.9905,3.8000,0.8545,0.0405,0.2012,5329,3561,66.82
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,4.4000,3183.9912,4.3000,0.9007,0.0779,0.2792,5329,3535,66.34
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.1000,40.2000,1.0000,0.2594,0.0464,0.2154,5329,155,2.91
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,4.2000,3191.0920,4.1000,0.8961,0.0505,0.2248,5329,3561,66.82
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,3.2000,3836.7864,3.1000,1.0777,0.0584,0.2417,5329,3560,66.80
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.3000,4054.3979,4.2000,1.1386,0.0843,0.2903,5329,3561,66.82
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,4.6000,3987.0081,4.5000,1.1199,0.0895,0.2992,5329,3560,66.80
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,6.6000,3214.8975,6.5000,0.9895,0.1398,0.3739,5329,3249,60.97
