date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.2000,3.1000,4431.8022,2.9000,0.8354,0.1509,0.3885,5329,5305,99.55
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.2000,3.0000,4334.3989,2.8000,0.8170,0.1824,0.4271,5329,5305,99.55
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.0000,2735.7451,1.9000,0.5193,0.0683,0.2613,5329,5268,98.86
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.2000,3.5000,4369.5112,3.3000,0.8237,0.2091,0.4573,5329,5305,99.55
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.2000,3.1000,4324.5884,2.9000,0.8152,0.1322,0.3636,5329,5305,99.55
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.2000,3.3000,4118.1191,3.1000,0.7763,0.1700,0.4123,5329,5305,99.55
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.2000,3.8000,4083.5908,3.6000,0.7698,0.1672,0.4088,5329,5305,99.55
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.3000,3.2000,4562.4932,2.9000,0.8600,0.1695,0.4117,5329,5305,99.55
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.2000,4.2000,4382.4790,4.0000,0.8261,0.1454,0.3813,5329,5305,99.55
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.2000,4.0000,5621.4561,3.8000,1.0597,0.1992,0.4464,5329,5305,99.55
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,4.6000,5475.3174,4.3000,1.0321,0.2466,0.4966,5329,5305,99.55
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.2000,4.0000,5451.7402,3.8000,1.0277,0.2037,0.4514,5329,5305,99.55
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.4000,16.0000,1.3000,0.2353,0.0514,0.2267,5329,68,1.28
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.1000,5371.9116,4.0000,1.0186,0.2312,0.4808,5329,5274,98.97
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,6.4000,4185.1875,6.3000,0.8052,0.2302,0.4797,5329,5198,97.54
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.2000,5.7000,5607.0151,5.5000,1.0569,0.2092,0.4574,5329,5305,99.55
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,4.1000,5136.8867,4.0000,0.9809,0.1329,0.3645,5329,5237,98.27
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.3000,4.5000,5788.9155,4.2000,1.0912,0.1621,0.4026,5329,5305,99.55
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.2000,4.2000,5552.8184,4.0000,1.0611,0.1911,0.4371,5329,5233,98.20
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,6.2000,6465.6982,6.1000,1.2391,0.1714,0.4140,5329,5218,97.92
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,5.3000,5865.2163,5.2000,1.1069,0.2242,0.4735,5329,5299,99.44
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,6.2000,7816.1162,5.9000,1.4745,0.3276,0.5724,5329,5301,99.47
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,6.4000,7214.4575,6.2000,1.3677,0.3518,0.5932,5329,5275,98.99
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,6.9000,9551.4307,6.7000,1.8235,0.9384,0.9687,5329,5238,98.29
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.6000,2977.3081,6.5000,0.9428,0.5235,0.7236,5329,3158,59.26
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,4.2000,344.1006,4.1000,0.5222,0.1395,0.3735,5329,659,12.37
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.4000,6.8000,11811.3105,6.4000,2.2281,1.2045,1.0975,5329,5301,99.47
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.5000,6.8000,13799.2871,6.3000,2.6031,1.3945,1.1809,5329,5301,99.47
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.5000,6.8000,13209.7129,6.3000,2.5004,1.4277,1.1949,5329,5283,99.14
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.8000,14223.7422,6.7000,2.7098,1.7850,1.3360,5329,5249,98.50
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.5000,6.8000,12882.5605,6.3000,2.4538,1.3563,1.1646,5329,5250,98.52
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.8000,11721.5537,6.7000,2.4787,1.9474,1.3955,5329,4729,88.74
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.5000,6.8000,13775.4199,6.3000,2.6314,1.2929,1.1371,5329,5235,98.24
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.8000,14192.9941,6.7000,2.7024,1.5567,1.2477,5329,5252,98.56
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,6.8000,12815.2393,6.6000,2.4683,1.6513,1.2850,5329,5192,97.43
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,6229.4126,6.7000,1.5043,1.1196,1.0581,5329,4141,77.71
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,6.7000,11863.3086,6.6000,2.2818,1.6217,1.2735,5329,5199,97.56
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.8000,9838.0322,6.7000,1.9951,1.5722,1.2539,5329,4931,92.53
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.1000,6.8000,8919.8037,6.7000,1.9561,1.7058,1.3061,5329,4560,85.57
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.8000,10295.6328,6.7000,2.0808,1.7297,1.3152,5329,4948,92.85
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.8000,14768.4219,6.6000,2.7902,1.7160,1.3100,5329,5293,99.32
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.3000,6.9000,15641.8105,6.6000,2.9636,1.7371,1.3180,5329,5278,99.04
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.6000,6.8000,12176.9551,6.2000,2.3247,1.3351,1.1555,5329,5238,98.29
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.1000,6.9000,13682.8916,6.8000,2.7399,2.1951,1.4816,5329,4994,93.71
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.8000,14236.1680,6.7000,2.6973,1.1279,1.0620,5329,5278,99.04
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.8000,11321.7871,6.7000,2.4233,2.2467,1.4989,5329,4672,87.67
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.7000,6.8000,13737.9053,6.1000,2.5930,1.2821,1.1323,5329,5298,99.42
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.1000,6.8000,14091.9043,6.7000,2.8223,1.9813,1.4076,5329,4993,93.69
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.3000,6.8000,12671.0088,6.5000,2.4792,1.4988,1.2243,5329,5111,95.91
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.3000,6.9000,15527.1113,6.6000,2.9508,1.8369,1.3553,5329,5262,98.74
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.8000,6.8000,14596.0391,6.0000,2.7607,1.5299,1.2369,5329,5287,99.21
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.5000,6.9000,15074.4072,6.4000,2.8845,1.6016,1.2655,5329,5226,98.07
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.1000,6.8000,13738.0244,6.7000,2.6619,1.5291,1.2366,5329,5161,96.85
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.1000,6.8000,13176.3340,6.7000,2.5452,1.3435,1.1591,5329,5177,97.15
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.1000,6.8000,11808.6035,6.7000,2.3168,0.9460,0.9726,5329,5097,95.65
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.7000,6.8000,15044.0645,6.1000,2.8466,1.6357,1.2789,5329,5285,99.17
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.9000,7014.5479,6.8000,1.4165,1.0753,1.0370,5329,4952,92.93
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.3000,6.8000,13719.0176,6.5000,2.6805,1.2761,1.1296,5329,5118,96.04
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.1000,6.7000,12636.8193,6.6000,2.4518,1.3878,1.1781,5329,5154,96.72
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.1000,6.6000,7313.0327,6.5000,1.7973,1.4647,1.2102,5329,4069,76.36
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,6.7000,12217.5869,6.6000,2.3650,1.3264,1.1517,5329,5166,96.94
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.1000,6.8000,9152.0146,6.7000,1.8282,1.2415,1.1142,5329,5006,93.94
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.5000,6.6000,14316.5342,6.1000,2.7171,0.9193,0.9588,5329,5269,98.87
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.6000,6.6000,13876.8281,6.0000,2.6188,1.0912,1.0446,5329,5299,99.44
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.2000,6.8000,12948.6670,6.6000,2.4501,1.0316,1.0157,5329,5285,99.17
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,5.7000,1468.4980,5.6000,0.6770,0.2813,0.5303,5329,2169,40.70
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,0.2000,2.7000,0.1000,0.1125,0.0011,0.0331,5329,24,0.45
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.1000,6.8000,1716.4973,6.7000,0.6360,0.4381,0.6619,5329,2699,50.65
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,6.3000,10146.5752,6.2000,1.9166,0.6325,0.7953,5329,5294,99.34
