date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,3.2000,0.0000,0.1000,0.0000,0.0000,5329,32,0.60
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.5000,399.6064,0.4000,0.1604,0.0045,0.0669,5329,2492,46.76
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.1000,0.6000,0.0000,0.1000,0.0000,0.0000,5329,6,0.11
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,848.7052,0.4000,0.1648,0.0048,0.0693,5329,5150,96.64
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.6000,926.1057,0.5000,0.1758,0.0047,0.0683,5329,5267,98.84
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.2000,1.5000,0.1000,0.1071,0.0007,0.0258,5329,14,0.26
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.4000,428.6152,0.3000,0.1092,0.0011,0.0332,5329,3924,73.63
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.4000,548.0093,0.3000,0.1481,0.0039,0.0621,5329,3701,69.45
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.5000,142.2991,0.4000,0.1221,0.0024,0.0489,5329,1165,21.86
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.8000,203.4006,0.7000,0.1415,0.0045,0.0668,5329,1437,26.97
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.1000,271.0040,1.0000,0.1153,0.0027,0.0517,5329,2350,44.10
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.0000,9.6000,0.9000,0.2286,0.0992,0.3149,5329,42,0.79
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,235.9011,1.6000,0.1442,0.0088,0.0938,5329,1636,30.70
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.5000,1182.6996,0.4000,0.2239,0.0033,0.0576,5329,5283,99.14
