date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.5000,16.6000,0.4000,0.1677,0.0080,0.0897,5329,99,1.86
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.5000,339.6102,0.4000,0.1051,0.0008,0.0278,5329,3231,60.63
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.6000,856.9080,0.5000,0.1609,0.0037,0.0611,5329,5325,99.92
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.0000,1141.2079,0.9000,0.2143,0.0041,0.0637,5329,5325,99.92
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.0000,1245.0004,0.9000,0.2338,0.0040,0.0634,5329,5325,99.92
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.1000,1226.6990,1.0000,0.2304,0.0035,0.0588,5329,5325,99.92
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.9000,396.6125,0.8000,0.1102,0.0019,0.0436,5329,3599,67.54
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.2000,1190.2970,2.1000,0.2235,0.0042,0.0651,5329,5325,99.92
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.7000,1055.7141,0.6000,0.1983,0.0030,0.0543,5329,5325,99.92
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.1000,1055.8234,1.0000,0.1983,0.0039,0.0622,5329,5325,99.92
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.3000,1031.9141,1.2000,0.1957,0.0043,0.0656,5329,5272,98.93
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.0000,962.1226,0.9000,0.1882,0.0039,0.0624,5329,5113,95.95
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.1000,620.5086,1.0000,0.1343,0.0037,0.0608,5329,4622,86.73
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.0000,1059.9282,0.9000,0.1990,0.0027,0.0523,5329,5325,99.92
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.0000,1195.8004,0.9000,0.2246,0.0028,0.0533,5329,5325,99.92
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.2000,1260.7977,1.1000,0.2368,0.0040,0.0633,5329,5325,99.92
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,603.2157,0.6000,0.1422,0.0029,0.0539,5329,4242,79.60
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.4000,1334.2059,1.3000,0.2506,0.0050,0.0710,5329,5325,99.92
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.8000,1157.9117,0.7000,0.2174,0.0023,0.0479,5329,5325,99.92
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.3000,1409.9258,1.2000,0.2648,0.0062,0.0788,5329,5325,99.92
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.1000,1519.2352,1.0000,0.2853,0.0060,0.0774,5329,5325,99.92
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.9000,1393.2235,0.8000,0.2616,0.0052,0.0720,5329,5325,99.92
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.0000,1659.9429,0.9000,0.3117,0.0075,0.0864,5329,5325,99.92
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.0000,1769.2480,0.9000,0.3323,0.0095,0.0976,5329,5325,99.92
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.1000,2014.8425,1.0000,0.3784,0.0131,0.1144,5329,5325,99.92
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,0.9000,2123.3442,0.7000,0.3988,0.0119,0.1090,5329,5325,99.92
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,1.0000,2288.9175,0.9000,0.4298,0.0130,0.1140,5329,5325,99.92
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,1.2000,2751.3091,1.0000,0.5167,0.0143,0.1195,5329,5325,99.92
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.2000,1.2000,2657.9041,1.0000,0.4991,0.0127,0.1127,5329,5325,99.92
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.2000,1.4000,2995.4102,1.2000,0.5625,0.0205,0.1432,5329,5325,99.92
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.5000,2850.5764,2.4000,0.5436,0.0310,0.1762,5329,5244,98.40
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,1.6000,3539.4294,1.4000,0.6651,0.0350,0.1871,5329,5322,99.87
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.4000,2.2000,3747.4502,1.8000,0.7037,0.0326,0.1805,5329,5325,99.92
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.2000,2.6000,3690.6736,2.4000,0.6931,0.0356,0.1887,5329,5325,99.92
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,3.9000,3830.1873,3.8000,0.7196,0.0695,0.2637,5329,5323,99.89
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.5000,4.0000,5009.2871,3.5000,0.9407,0.0759,0.2756,5329,5325,99.92
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.4000,6.3000,5325.7153,5.9000,1.0001,0.1061,0.3257,5329,5325,99.92
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.5000,5.7000,6141.1187,5.2000,1.1533,0.1069,0.3269,5329,5325,99.92
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.5000,3.8000,6354.3203,3.3000,1.1933,0.0769,0.2772,5329,5325,99.92
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.3000,4.0000,7531.1714,3.7000,1.4183,0.0837,0.2893,5329,5310,99.64
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.6000,3.1000,7338.2583,2.5000,1.3781,0.0589,0.2428,5329,5325,99.92
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.5000,3.7000,6960.8101,3.2000,1.3072,0.1146,0.3385,5329,5325,99.92
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.7000,6.7000,7480.5176,6.0000,1.4048,0.1503,0.3877,5329,5325,99.92
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,5.5000,6826.4058,5.4000,1.2885,0.2557,0.5057,5329,5298,99.42
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,4.1000,6507.1528,3.9000,1.2220,0.1580,0.3975,5329,5325,99.92
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.6000,3.5000,6403.4229,2.9000,1.2025,0.0854,0.2922,5329,5325,99.92
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.6000,3.7000,5934.8096,3.1000,1.1145,0.0772,0.2778,5329,5325,99.92
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.5000,3.5000,5838.2163,3.0000,1.0964,0.0834,0.2888,5329,5325,99.92
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.4000,3.3000,5104.9766,2.9000,0.9587,0.0570,0.2388,5329,5325,99.92
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.4000,2.8000,4878.2744,2.4000,0.9161,0.0626,0.2503,5329,5325,99.92
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.4000,3.9000,4680.5752,3.5000,0.8790,0.0553,0.2351,5329,5325,99.92
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.3000,2.3000,4453.2754,2.0000,0.8363,0.0388,0.1970,5329,5325,99.92
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.3000,2.9000,4345.4951,2.6000,0.8161,0.0384,0.1959,5329,5325,99.92
