date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.1000,3.1000,0.0000,0.1000,0.0000,0.0000,5329,31,0.58
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,332.6093,0.2000,0.1218,0.0018,0.0423,5329,2731,51.25
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.4000,861.9308,0.3000,0.1683,0.0034,0.0585,5329,5121,96.10
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.8000,1237.7085,0.7000,0.2326,0.0026,0.0510,5329,5322,99.87
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,1199.3103,0.4000,0.2253,0.0023,0.0480,5329,5322,99.87
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.0000,351.6103,0.9000,0.1157,0.0018,0.0422,5329,3039,57.03
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1161.7139,0.4000,0.2183,0.0018,0.0425,5329,5322,99.87
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.4000,1169.4062,1.3000,0.2197,0.0031,0.0561,5329,5322,99.87
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.5000,1132.6172,0.4000,0.2128,0.0013,0.0362,5329,5322,99.87
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.1000,1012.6275,1.0000,0.1903,0.0035,0.0590,5329,5322,99.87
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.4000,1093.2257,0.3000,0.2054,0.0010,0.0323,5329,5322,99.87
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.6000,1115.3151,0.5000,0.2096,0.0013,0.0359,5329,5322,99.87
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.4000,1082.7244,0.3000,0.2042,0.0012,0.0342,5329,5302,99.49
