date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,5.8000,3284.0933,5.7000,0.6199,0.0431,0.2075,5329,5298,99.42
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.3000,3064.6021,2.2000,0.5784,0.0372,0.1928,5329,5298,99.42
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.2000,2832.0056,2.1000,0.5356,0.0322,0.1794,5329,5288,99.23
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.4000,3274.6868,2.3000,0.6181,0.0390,0.1974,5329,5298,99.42
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.6000,3132.2866,2.5000,0.5912,0.0370,0.1923,5329,5298,99.42
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.2000,3029.3943,2.1000,0.5720,0.0354,0.1882,5329,5296,99.38
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,4.2000,2981.5054,4.1000,0.5640,0.0403,0.2008,5329,5286,99.19
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.6000,3205.7009,2.5000,0.6051,0.0373,0.1932,5329,5298,99.42
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.3000,2763.0256,2.2000,0.5215,0.0296,0.1720,5329,5298,99.42
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.5000,3719.4790,2.4000,0.7021,0.0465,0.2156,5329,5298,99.42
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.3000,2857.8154,2.2000,0.5394,0.0321,0.1791,5329,5298,99.42
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.6000,178.9003,0.5000,0.1739,0.0076,0.0873,5329,1029,19.31
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.2000,42.9999,0.1000,0.1080,0.0007,0.0272,5329,398,7.47
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.1000,1711.9041,2.0000,0.4787,0.0645,0.2540,5329,3576,67.10
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.0000,2434.9932,2.9000,0.6563,0.0493,0.2220,5329,3710,69.62
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,2.2000,3768.9648,1.9000,0.7114,0.0468,0.2164,5329,5298,99.42
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.3000,1046.5985,2.2000,0.3487,0.0406,0.2016,5329,3001,56.31
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.3000,3.7000,4170.7754,3.4000,0.7872,0.0408,0.2019,5329,5298,99.42
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.2000,2.9000,3782.7817,2.7000,0.7357,0.0503,0.2243,5329,5142,96.49
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.3000,4.0000,4743.3765,3.7000,0.8957,0.0488,0.2210,5329,5296,99.38
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,3.8000,5450.9961,3.5000,1.0289,0.0724,0.2690,5329,5298,99.42
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,2.2000,5564.3047,1.9000,1.0503,0.0589,0.2426,5329,5298,99.42
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,2.8000,4662.5845,2.6000,0.8801,0.0636,0.2523,5329,5298,99.42
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,5.3000,3299.6055,5.2000,0.8115,0.2285,0.4780,5329,4066,76.30
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.3000,3.3000,5593.5918,3.0000,1.0558,0.1025,0.3201,5329,5298,99.42
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,3.5000,1321.6995,3.4000,0.6713,0.1460,0.3821,5329,1969,36.95
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,6.8000,8679.2344,6.5000,1.7088,0.7162,0.8463,5329,5079,95.31
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.4000,6.8000,9869.7256,6.4000,1.8636,1.0219,1.0109,5329,5296,99.38
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.5000,6.8000,11115.1064,6.3000,2.0980,1.5003,1.2249,5329,5298,99.42
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,6.8000,10421.1162,6.5000,2.1576,1.6570,1.2872,5329,4830,90.64
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.3000,6.9000,14791.6064,6.6000,3.0643,2.9413,1.7150,5329,4827,90.58
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,6.8000,7667.3164,6.7000,2.3060,2.6365,1.6237,5329,3325,62.39
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.4000,6.8000,18421.5195,6.4000,3.7389,2.0231,1.4223,5329,4927,92.46
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.6000,6.8000,11558.7363,6.2000,2.9999,2.6284,1.6212,5329,3853,72.30
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.9000,6.8000,21493.6055,5.9000,4.2773,2.5673,1.6023,5329,5025,94.30
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,4031.0979,6.7000,2.0736,2.9050,1.7044,5329,1944,36.48
