date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.1000,3041.0225,1.0000,0.5865,0.0264,0.1625,5329,5185,97.30
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,0.1000,0.0000,0.1000,0.0000,0.0000,5329,1,0.02
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.1000,2671.0078,1.0000,0.5151,0.0258,0.1606,5329,5185,97.30
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.1000,2967.3137,1.0000,0.5723,0.0260,0.1612,5329,5185,97.30
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.2000,2352.1223,1.1000,0.4537,0.0282,0.1680,5329,5184,97.28
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.3000,3016.5913,1.2000,0.5818,0.0255,0.1596,5329,5185,97.30
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.2000,1936.0197,1.1000,0.3734,0.0160,0.1263,5329,5185,97.30
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.3000,2603.0071,1.2000,0.5022,0.0446,0.2111,5329,5183,97.26
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.4000,3611.2307,1.3000,0.6965,0.0529,0.2299,5329,5185,97.30
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.5000,4054.7805,1.4000,0.7820,0.0415,0.2037,5329,5185,97.30
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.7000,3766.4988,1.6000,0.7264,0.0551,0.2347,5329,5185,97.30
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.2000,2.1000,3841.4988,1.9000,0.7409,0.0427,0.2067,5329,5185,97.30
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.9000,1679.1401,0.8000,0.3273,0.0065,0.0809,5329,5131,96.28
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.1000,3.1000,0.0000,0.1000,0.0000,0.0000,5329,31,0.58
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.2000,1.7000,3848.6787,1.5000,0.7423,0.0354,0.1882,5329,5185,97.30
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,1.8000,3733.9163,1.5000,0.7201,0.0386,0.1965,5329,5185,97.30
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.1000,4186.6782,2.0000,0.8075,0.0502,0.2241,5329,5185,97.30
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,2.8000,3596.8208,2.7000,0.6937,0.0827,0.2875,5329,5185,97.30
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.1000,2565.4104,2.0000,0.4961,0.0441,0.2101,5329,5171,97.04
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,3.0000,5316.6006,2.9000,1.0254,0.0881,0.2968,5329,5185,97.30
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,3.7000,5511.2178,3.5000,1.0629,0.1007,0.3173,5329,5185,97.30
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,4.6000,6061.8950,4.4000,1.1693,0.1032,0.3213,5329,5184,97.28
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,3.6000,5817.0220,3.5000,1.1221,0.1800,0.4242,5329,5184,97.28
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,5.7000,5499.4224,5.5000,1.0606,0.2006,0.4479,5329,5185,97.30
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,4.6000,7242.4263,4.4000,1.3976,0.1598,0.3998,5329,5182,97.24
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.3000,4.8000,7154.8896,4.5000,1.3799,0.1558,0.3947,5329,5185,97.30
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,3.0000,5749.5815,2.8000,1.1089,0.0889,0.2981,5329,5185,97.30
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,2.8000,7671.1963,2.6000,1.4795,0.1318,0.3631,5329,5185,97.30
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.3000,4.5000,8042.7173,4.2000,1.5512,0.1610,0.4013,5329,5185,97.30
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,6.2000,7952.6304,5.9000,1.5338,0.2190,0.4679,5329,5185,97.30
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,5.7000,3711.1106,5.6000,0.8973,0.4224,0.6499,5329,4136,77.61
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,4.9000,2851.6921,4.8000,0.7961,0.4419,0.6648,5329,3582,67.22
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,3.4000,1645.9756,3.3000,0.3940,0.1637,0.4046,5329,4178,78.40
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.2000,6.3000,8059.6206,6.1000,1.5544,0.2767,0.5260,5329,5185,97.30
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,3.5000,846.9984,3.4000,0.4172,0.1317,0.3630,5329,2030,38.09
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,3.3000,8342.8711,3.2000,1.6094,0.1741,0.4173,5329,5184,97.28
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.2000,6.4000,8365.5400,6.2000,1.6134,0.2091,0.4573,5329,5185,97.30
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.2000,4.8000,8722.4258,4.6000,1.6822,0.2142,0.4629,5329,5185,97.30
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.3000,6.3000,8324.5293,6.0000,1.6055,0.1849,0.4300,5329,5185,97.30
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.2000,5.1000,8137.5063,4.9000,1.5694,0.2216,0.4708,5329,5185,97.30
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,4.9000,5266.1987,4.8000,1.0298,0.3123,0.5589,5329,5114,95.97
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,4.1000,6268.3486,4.0000,1.2487,0.3503,0.5919,5329,5020,94.20
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.7000,8535.5059,6.5000,1.6462,0.3404,0.5834,5329,5185,97.30
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,4.9000,7186.4731,4.7000,1.3860,0.1873,0.4328,5329,5185,97.30
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.2000,5.8000,7312.0054,5.6000,1.4102,0.2523,0.5023,5329,5185,97.30
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.2000,6.3000,6849.6128,6.1000,1.3210,0.3056,0.5528,5329,5185,97.30
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.4000,3.1000,7867.7373,2.7000,1.5174,0.1626,0.4032,5329,5185,97.30
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.4000,3.1000,7852.7271,2.7000,1.5145,0.1663,0.4078,5329,5185,97.30
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.3000,2.8000,7165.1411,2.5000,1.3819,0.1283,0.3582,5329,5185,97.30
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,3.0000,7059.7207,2.8000,1.3616,0.1377,0.3711,5329,5185,97.30
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.2000,3.7000,6909.7183,3.5000,1.3326,0.1513,0.3890,5329,5185,97.30
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.3000,3.2000,6388.3955,2.9000,1.2321,0.1327,0.3643,5329,5185,97.30
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.2000,3.5000,6412.6118,3.3000,1.2368,0.1502,0.3876,5329,5185,97.30
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.2000,2.7000,6085.7959,2.5000,1.1737,0.1129,0.3361,5329,5185,97.30
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.3000,3.6000,5695.8896,3.3000,1.0985,0.1053,0.3245,5329,5185,97.30
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.1000,4.3000,5680.1167,4.2000,1.0955,0.1633,0.4041,5329,5185,97.30
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.2000,3.2000,5408.8154,3.0000,1.0432,0.0912,0.3020,5329,5185,97.30
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.2000,3.2000,6027.9819,3.0000,1.1626,0.1245,0.3529,5329,5185,97.30
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.4000,3.6000,6228.3955,3.2000,1.2012,0.1198,0.3461,5329,5185,97.30
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.2000,3.8000,5679.0898,3.6000,1.0953,0.1567,0.3959,5329,5185,97.30
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,5.4000,5902.6924,5.3000,1.1384,0.1709,0.4134,5329,5185,97.30
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,3.2000,5564.2729,3.0000,1.0731,0.1261,0.3551,5329,5185,97.30
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.2000,3.0000,5318.4907,2.8000,1.0257,0.1046,0.3234,5329,5185,97.30
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.2000,3.8000,5414.4580,3.6000,1.0443,0.1325,0.3640,5329,5185,97.30
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.3000,3.7000,5256.3057,3.4000,1.0138,0.1175,0.3428,5329,5185,97.30
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.2000,3.3000,5798.2876,3.1000,1.1183,0.1487,0.3856,5329,5185,97.30
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.1000,3.0000,4193.9985,2.9000,0.8089,0.1244,0.3527,5329,5185,97.30
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.2000,3.3000,4884.8140,3.1000,0.9421,0.0996,0.3156,5329,5185,97.30
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.2000,1.8000,4491.4951,1.6000,0.8662,0.0650,0.2550,5329,5185,97.30
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,2.2000,4558.7856,2.1000,0.8792,0.0654,0.2557,5329,5185,97.30
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.2000,1.7000,4634.4111,1.5000,0.8938,0.0668,0.2584,5329,5185,97.30
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.2000,1.6000,4443.8101,1.4000,0.8571,0.0612,0.2474,5329,5185,97.30
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,2.2000,4057.7656,2.1000,0.7841,0.0663,0.2575,5329,5175,97.11
A2015297,2015-10-24,MCD15A3H,Lai_500m,0.1000,1.5000,4532.2070,1.4000,0.8741,0.0580,0.2408,5329,5185,97.30
A2015301,2015-10-28,MCD15A3H,Lai_500m,0.1000,3.8000,4652.2881,3.7000,0.8973,0.0682,0.2612,5329,5185,97.30
