date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.9000,1848.8387,1.8000,0.3487,0.0281,0.1677,5329,5302,99.49
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.5000,852.0874,1.4000,0.1627,0.0152,0.1234,5329,5236,98.25
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.1000,1586.0093,2.0000,0.2992,0.0240,0.1550,5329,5301,99.47
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.7000,1740.4255,1.6000,0.3283,0.0230,0.1518,5329,5302,99.49
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.9000,1419.8043,2.8000,0.2678,0.0178,0.1336,5329,5302,99.49
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.6000,1805.9357,2.5000,0.3406,0.0321,0.1793,5329,5302,99.49
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,1327.4871,1.6000,0.2504,0.0217,0.1472,5329,5302,99.49
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.8000,1809.3224,1.7000,0.3413,0.0300,0.1733,5329,5302,99.49
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,3.3000,2181.7361,3.2000,0.4115,0.0616,0.2483,5329,5302,99.49
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,3.4000,2316.3176,3.3000,0.4369,0.0581,0.2411,5329,5302,99.49
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.9000,1793.4139,2.8000,0.3383,0.0576,0.2400,5329,5302,99.49
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,3.8000,2634.3142,3.7000,0.4969,0.0810,0.2846,5329,5302,99.49
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.8000,1912.6353,1.7000,0.3636,0.0218,0.1476,5329,5260,98.71
A2015057,2015-02-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.0000,1918.9092,2.9000,0.3619,0.0669,0.2586,5329,5302,99.49
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.3000,2400.6226,2.2000,0.4532,0.0536,0.2314,5329,5297,99.40
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,2.7000,2733.8992,2.5000,0.5156,0.0765,0.2765,5329,5302,99.49
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,3.6000,2416.7295,3.5000,0.4558,0.1015,0.3186,5329,5302,99.49
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,5.7000,1546.8988,5.6000,0.3050,0.0638,0.2525,5329,5072,95.18
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.2000,4.4000,3297.6816,4.2000,0.6221,0.1758,0.4193,5329,5301,99.47
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,3.8000,3688.8840,3.6000,0.6958,0.1332,0.3649,5329,5302,99.49
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,5.9000,4417.0815,5.6000,0.8331,0.2109,0.4592,5329,5302,99.49
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,4.6000,3688.3870,4.4000,0.6957,0.1243,0.3525,5329,5302,99.49
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.3000,3.6000,4324.2700,3.3000,0.8156,0.1098,0.3314,5329,5302,99.49
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,4.5000,3437.9985,4.4000,0.6610,0.1316,0.3627,5329,5201,97.60
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.3000,5.4000,5727.8076,5.1000,1.0805,0.1095,0.3309,5329,5301,99.47
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,3.7000,5124.8081,3.4000,0.9666,0.0786,0.2803,5329,5302,99.49
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.3000,3.9000,5665.2197,3.6000,1.0685,0.0776,0.2786,5329,5302,99.49
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.3000,4.7000,5452.9580,4.4000,1.0292,0.0579,0.2406,5329,5298,99.42
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,2.2000,5319.6489,1.9000,1.0033,0.0420,0.2050,5329,5302,99.49
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.8000,4780.2046,3.7000,0.9105,0.1740,0.4171,5329,5250,98.52
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,5.3000,5224.2266,5.1000,0.9853,0.0764,0.2764,5329,5302,99.49
