date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,1059.4856,0.9000,0.2169,0.0155,0.1246,5329,4884,91.65
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.4000,2881.0232,1.3000,0.5481,0.0437,0.2090,5329,5256,98.63
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.7000,3152.4924,1.6000,0.6047,0.0569,0.2385,5329,5213,97.82
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.9000,3348.4963,1.8000,0.6370,0.0591,0.2432,5329,5257,98.65
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,1.9000,3057.1741,1.8000,0.5817,0.0504,0.2246,5329,5256,98.63
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.7000,3355.7710,1.6000,0.6383,0.0506,0.2249,5329,5257,98.65
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.7000,2577.6064,1.6000,0.4903,0.0411,0.2028,5329,5257,98.65
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.3000,729.2920,2.2000,0.3453,0.0616,0.2482,5329,2112,39.63
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.8000,3653.6716,1.7000,0.6950,0.0665,0.2580,5329,5257,98.65
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.4000,3732.6963,2.3000,0.7100,0.0722,0.2688,5329,5257,98.65
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.1000,3093.4463,2.0000,0.5886,0.0650,0.2549,5329,5256,98.63
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.3000,4126.6948,2.2000,0.7850,0.0927,0.3045,5329,5257,98.65
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.4000,1764.2810,2.3000,0.4241,0.0538,0.2320,5329,4160,78.06
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.0000,3715.3857,1.9000,0.7070,0.0749,0.2737,5329,5255,98.61
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.9000,532.7037,1.8000,0.3594,0.1262,0.3552,5329,1482,27.81
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.6000,333.9024,2.5000,0.2343,0.0595,0.2439,5329,1425,26.74
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.8000,4534.7334,2.7000,0.8633,0.1378,0.3712,5329,5253,98.57
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.2000,30.3001,0.1000,0.1638,0.0023,0.0481,5329,185,3.47
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.0000,39.5000,1.9000,0.1946,0.0528,0.2298,5329,203,3.81
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,5.4000,6362.8091,5.3000,1.2103,0.2561,0.5061,5329,5257,98.65
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,6.0000,6548.6440,5.8000,1.2457,0.2795,0.5287,5329,5257,98.65
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.4000,6000.2544,6.3000,1.1877,0.4039,0.6355,5329,5052,94.80
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,6.2000,5977.4683,6.1000,1.1370,0.4275,0.6539,5329,5257,98.65
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.0000,4767.2070,5.9000,1.0296,0.4852,0.6966,5329,4630,86.88
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,5.9000,148.4996,5.8000,0.2250,0.1067,0.3267,5329,660,12.39
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,6.5000,2482.6978,6.4000,0.9664,0.7939,0.8910,5329,2569,48.21
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,4.3000,1998.9891,4.2000,0.6132,0.2709,0.5205,5329,3260,61.17
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.7000,5882.9321,6.6000,1.1986,0.5510,0.7423,5329,4908,92.10
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,6.7000,8926.0527,6.5000,1.6979,0.3420,0.5848,5329,5257,98.65
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.6000,9361.0283,6.5000,1.8305,0.6662,0.8162,5329,5114,95.97
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,6.8000,7716.0273,6.7000,1.5995,0.3955,0.6289,5329,4824,90.52
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,4.4000,8723.0332,4.2000,1.6997,0.2575,0.5074,5329,5132,96.30
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.1000,6.6000,2817.2012,6.5000,0.6880,0.3623,0.6019,5329,4095,76.84
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.1000,6.7000,6323.2227,6.6000,1.2751,0.7287,0.8536,5329,4959,93.06
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.1000,6.7000,7127.1431,6.6000,1.6198,0.9349,0.9669,5329,4400,82.57
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.2000,6.8000,9279.5225,6.6000,1.7672,0.5119,0.7155,5329,5251,98.54
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.1000,5.8000,9160.3623,5.7000,1.7694,0.4283,0.6544,5329,5177,97.15
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.1000,6.8000,8952.2402,6.7000,1.7296,0.7096,0.8424,5329,5176,97.13
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.2000,6.7000,9685.0225,6.5000,1.8441,0.4030,0.6348,5329,5252,98.56
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.1000,6.1000,9338.2285,6.0000,1.7807,0.4410,0.6640,5329,5244,98.40
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.1000,6.7000,6889.0469,6.6000,1.4005,0.5126,0.7160,5329,4919,92.31
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.1000,6.7000,4108.4258,6.6000,1.0780,0.7796,0.8830,5329,3811,71.51
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.1000,5.5000,6892.9258,5.4000,1.3604,0.5417,0.7360,5329,5067,95.08
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.2000,6.6000,9034.1533,6.4000,1.7185,0.3076,0.5546,5329,5257,98.65
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.1000,6.4000,8975.1436,6.3000,1.7482,0.4370,0.6610,5329,5134,96.34
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.8000,6470.5073,6.7000,1.2579,0.5889,0.7674,5329,5144,96.53
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.3000,6.6000,8233.2559,6.3000,1.5662,0.4194,0.6476,5329,5257,98.65
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.2000,6.2000,8052.0522,6.0000,1.5317,0.2817,0.5307,5329,5257,98.65
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.1000,6.8000,7793.5483,6.7000,1.4825,0.3819,0.6180,5329,5257,98.65
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.2000,3.9000,7092.1533,3.7000,1.3491,0.2409,0.4908,5329,5257,98.65
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.1000,6.8000,6627.6582,6.7000,1.2607,0.2231,0.4724,5329,5257,98.65
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.3000,2.7000,6241.6460,2.4000,1.1873,0.1449,0.3807,5329,5257,98.65
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.1000,5.9000,5729.8545,5.8000,1.0906,0.1933,0.4396,5329,5254,98.59
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.2000,2.7000,5693.7554,2.5000,1.0831,0.1195,0.3458,5329,5257,98.65
A2015221,2015-08-09,MCD15A3H,Lai_500m,0.2000,4.4000,5427.2544,4.2000,1.0324,0.1181,0.3436,5329,5257,98.65
A2015225,2015-08-13,MCD15A3H,Lai_500m,0.1000,6.8000,5316.5239,6.7000,1.0113,0.1530,0.3911,5329,5257,98.65
A2015229,2015-08-17,MCD15A3H,Lai_500m,0.1000,6.0000,4517.7026,5.9000,0.8608,0.1888,0.4345,5329,5248,98.48
A2015233,2015-08-21,MCD15A3H,Lai_500m,0.1000,5.1000,5134.7168,5.0000,0.9767,0.2084,0.4565,5329,5257,98.65
A2015237,2015-08-25,MCD15A3H,Lai_500m,0.2000,6.5000,5188.6128,6.3000,0.9870,0.1867,0.4321,5329,5257,98.65
A2015241,2015-08-29,MCD15A3H,Lai_500m,0.1000,3.7000,4977.6187,3.6000,0.9469,0.1119,0.3346,5329,5257,98.65
A2015245,2015-09-02,MCD15A3H,Lai_500m,0.1000,3.0000,5085.4336,2.9000,0.9674,0.1119,0.3345,5329,5257,98.65
A2015249,2015-09-06,MCD15A3H,Lai_500m,0.2000,3.4000,5143.1060,3.2000,0.9783,0.1384,0.3720,5329,5257,98.65
A2015253,2015-09-10,MCD15A3H,Lai_500m,0.1000,2.6000,3698.7893,2.5000,0.7071,0.0981,0.3133,5329,5231,98.16
A2015257,2015-09-14,MCD15A3H,Lai_500m,0.1000,3.5000,3852.0186,3.4000,0.7340,0.1137,0.3373,5329,5248,98.48
A2015261,2015-09-18,MCD15A3H,Lai_500m,0.2000,4.9000,6233.6440,4.7000,1.1860,0.2105,0.4588,5329,5256,98.63
A2015265,2015-09-22,MCD15A3H,Lai_500m,0.1000,5.6000,5725.8882,5.5000,1.0898,0.2274,0.4768,5329,5254,98.59
A2015269,2015-09-26,MCD15A3H,Lai_500m,0.2000,5.8000,7047.8164,5.6000,1.3407,0.2345,0.4843,5329,5257,98.65
A2015273,2015-09-30,MCD15A3H,Lai_500m,0.2000,5.1000,6722.1201,4.9000,1.2787,0.2305,0.4801,5329,5257,98.65
A2015277,2015-10-04,MCD15A3H,Lai_500m,0.1000,4.5000,5831.7285,4.4000,1.1093,0.1964,0.4431,5329,5257,98.65
A2015281,2015-10-08,MCD15A3H,Lai_500m,0.1000,2.4000,5572.8008,2.3000,1.0601,0.1723,0.4151,5329,5257,98.65
A2015285,2015-10-12,MCD15A3H,Lai_500m,0.1000,6.4000,5147.1011,6.3000,0.9791,0.2051,0.4529,5329,5257,98.65
A2015289,2015-10-16,MCD15A3H,Lai_500m,0.1000,4.7000,5033.1147,4.6000,0.9574,0.1958,0.4425,5329,5257,98.65
A2015293,2015-10-20,MCD15A3H,Lai_500m,0.1000,6.3000,3918.8059,6.2000,0.7768,0.2417,0.4916,5329,5045,94.67
