date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.4000,1112.4052,0.3000,0.2142,0.0020,0.0448,5329,5193,97.45
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.7000,610.0045,0.6000,0.1179,0.0020,0.0443,5329,5173,97.07
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.4000,980.8358,0.3000,0.1900,0.0011,0.0334,5329,5161,96.85
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,962.1324,0.2000,0.1851,0.0014,0.0374,5329,5199,97.56
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.5000,963.7194,0.4000,0.1844,0.0026,0.0511,5329,5226,98.07
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.4000,994.4387,0.3000,0.1917,0.0009,0.0308,5329,5187,97.34
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.8000,625.6116,1.7000,0.1230,0.0038,0.0619,5329,5088,95.48
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.7000,1064.7190,0.6000,0.2101,0.0021,0.0457,5329,5067,95.08
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.5000,1101.0125,0.4000,0.2129,0.0016,0.0403,5329,5172,97.05
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.2000,1128.8063,1.1000,0.2188,0.0038,0.0615,5329,5160,96.83
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,0.7000,1072.9253,0.6000,0.2064,0.0017,0.0410,5329,5199,97.56
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.5000,1165.1942,0.4000,0.2255,0.0027,0.0518,5329,5168,96.98
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.1000,892.5205,1.0000,0.1841,0.0031,0.0555,5329,4847,90.96
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.1000,0.3000,0.0000,0.1000,0.0000,0.0000,5329,3,0.06
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,1060.6244,0.4000,0.2053,0.0015,0.0388,5329,5165,96.92
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,0.8000,1092.9048,0.7000,0.2136,0.0039,0.0624,5329,5116,96.00
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,0.9000,1190.3961,0.8000,0.2306,0.0043,0.0654,5329,5163,96.88
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.9000,1158.0007,0.8000,0.2226,0.0039,0.0621,5329,5202,97.62
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.3000,668.9085,1.2000,0.1939,0.0079,0.0890,5329,3450,64.74
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.9000,1377.7047,0.8000,0.2649,0.0072,0.0846,5329,5201,97.60
