date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.2000,1041.2163,1.1000,0.1989,0.0070,0.0838,5329,5235,98.24
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.2000,964.0089,1.1000,0.1811,0.0073,0.0852,5329,5324,99.91
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.5000,1080.2135,1.4000,0.2029,0.0079,0.0891,5329,5324,99.91
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.3000,1090.7080,1.2000,0.2049,0.0075,0.0864,5329,5324,99.91
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.3000,358.3120,0.2000,0.1028,0.0004,0.0191,5329,3485,65.40
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.4000,1053.5115,1.3000,0.1979,0.0077,0.0879,5329,5324,99.91
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.4000,894.1956,1.3000,0.1680,0.0093,0.0962,5329,5322,99.87
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.4000,1075.0111,1.3000,0.2019,0.0088,0.0940,5329,5324,99.91
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.7000,1193.8994,1.6000,0.2242,0.0109,0.1044,5329,5324,99.91
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.1000,1292.8899,2.0000,0.2428,0.0141,0.1186,5329,5324,99.91
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.2000,1342.1846,2.1000,0.2521,0.0158,0.1259,5329,5324,99.91
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.5000,1315.0872,2.4000,0.2470,0.0160,0.1263,5329,5324,99.91
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.2000,1130.7938,2.1000,0.2124,0.0136,0.1167,5329,5324,99.91
A2015057,2015-02-26,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.5000,809.5871,2.4000,0.1522,0.0123,0.1108,5329,5318,99.79
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.2000,1236.2931,2.1000,0.2322,0.0132,0.1149,5329,5324,99.91
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,4.1000,1364.0869,4.0000,0.2562,0.0212,0.1454,5329,5324,99.91
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,3.9000,1297.5900,3.8000,0.2437,0.0263,0.1623,5329,5324,99.91
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.2000,644.8033,1.1000,0.1603,0.0086,0.0926,5329,4023,75.49
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.6000,1405.6973,1.5000,0.2640,0.0176,0.1328,5329,5324,99.91
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,3.5000,1726.8110,3.4000,0.3243,0.0366,0.1913,5329,5324,99.91
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,3.7000,1777.5088,3.6000,0.3339,0.0391,0.1977,5329,5324,99.91
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,2.6000,1964.1309,2.5000,0.3689,0.0287,0.1695,5329,5324,99.91
