date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.2000,2.4000,3736.4714,2.2000,0.7063,0.0333,0.1824,5329,5290,99.27
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.1000,1.5000,0.0000,0.1000,0.0000,0.0000,5329,15,0.28
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,1.8000,2249.6165,1.7000,0.4253,0.0235,0.1532,5329,5289,99.25
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.2000,2.7000,3662.0869,2.5000,0.6923,0.0437,0.2089,5329,5290,99.27
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.4000,3422.1584,2.3000,0.6469,0.0381,0.1953,5329,5290,99.27
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.2000,2.5000,3795.8650,2.3000,0.7176,0.0438,0.2092,5329,5290,99.27
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.6000,2661.2078,6.5000,0.5032,0.0357,0.1890,5329,5289,99.25
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,2.9000,4073.0042,2.8000,0.7699,0.0674,0.2596,5329,5290,99.27
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,3.3000,3279.6250,3.2000,0.6200,0.0495,0.2224,5329,5290,99.27
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.3000,3.4000,5166.1348,3.1000,0.9766,0.0722,0.2686,5329,5290,99.27
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.3000,3.0000,4867.2114,2.7000,0.9201,0.0557,0.2360,5329,5290,99.27
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.2000,2.8000,4995.5234,2.6000,0.9443,0.0655,0.2559,5329,5290,99.27
A2015053,2015-02-22,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.6000,488.1003,1.5000,0.6695,0.1184,0.3442,5329,729,13.68
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,3.1000,4987.0059,3.0000,0.9427,0.0582,0.2412,5329,5290,99.27
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.8000,4145.2954,2.7000,0.7836,0.0536,0.2315,5329,5290,99.27
A2015069,2015-03-10,MCD15A3H,Lai_500m,,,,,,,,5329,0,0.00
