date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,0.5000,721.8135,0.4000,0.1355,0.0033,0.0573,5329,5328,99.98
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.3000,620.0073,0.2000,0.1164,0.0017,0.0408,5329,5328,99.98
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.8000,604.4027,0.7000,0.1134,0.0019,0.0433,5329,5328,99.98
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.4000,747.5190,0.3000,0.1403,0.0031,0.0556,5329,5328,99.98
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.6000,572.7117,0.5000,0.1109,0.0016,0.0401,5329,5166,96.94
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.5000,950.9244,0.4000,0.1785,0.0030,0.0543,5329,5328,99.98
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.8000,808.6170,0.7000,0.1518,0.0033,0.0578,5329,5328,99.98
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,1006.3264,0.4000,0.1889,0.0026,0.0509,5329,5328,99.98
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.6000,1177.2079,0.5000,0.2209,0.0024,0.0488,5329,5328,99.98
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.7000,1218.5145,0.6000,0.2287,0.0036,0.0600,5329,5328,99.98
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.4000,947.3214,1.3000,0.1778,0.0042,0.0647,5329,5328,99.98
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,0.7000,1232.7013,0.6000,0.2314,0.0032,0.0563,5329,5328,99.98
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.4000,1180.0996,1.3000,0.2215,0.0029,0.0540,5329,5328,99.98
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.6000,1165.3044,2.5000,0.2187,0.0057,0.0757,5329,5328,99.98
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.5000,1043.8218,0.4000,0.1959,0.0028,0.0525,5329,5328,99.98
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.1000,1244.1951,1.0000,0.2335,0.0036,0.0598,5329,5328,99.98
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.1000,1282.6963,1.0000,0.2407,0.0039,0.0625,5329,5328,99.98
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.7000,1191.5039,0.6000,0.2240,0.0054,0.0737,5329,5320,99.83
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.1000,1030.0865,1.0000,0.1955,0.0097,0.0985,5329,5268,98.86
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.2000,0.7000,1520.8193,0.5000,0.2854,0.0077,0.0880,5329,5328,99.98
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,0.7000,1630.8145,0.5000,0.3061,0.0106,0.1030,5329,5328,99.98
