date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.0000,974.0826,0.9000,0.2387,0.0131,0.1144,5329,4081,76.58
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,0.7000,864.0842,0.6000,0.2118,0.0095,0.0975,5329,4079,76.54
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,0.2000,7.0000,0.1000,0.1061,0.0006,0.0239,5329,66,1.24
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.3000,186.2021,0.2000,0.1034,0.0004,0.0209,5329,1801,33.80
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.9000,462.1089,0.8000,0.1642,0.0118,0.1085,5329,2815,52.82
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,0.8000,581.8017,0.7000,0.1574,0.0082,0.0906,5329,3696,69.36
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.7000,896.8832,0.6000,0.2171,0.0102,0.1012,5329,4131,77.52
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.3000,422.5150,0.2000,0.1052,0.0006,0.0242,5329,4016,75.36
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.0000,1072.0859,0.9000,0.2583,0.0139,0.1178,5329,4150,77.88
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,0.9000,1082.9816,0.8000,0.2610,0.0140,0.1182,5329,4149,77.86
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.3000,1100.8835,1.2000,0.2652,0.0160,0.1265,5329,4151,77.89
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,1089.8826,1.3000,0.2629,0.0160,0.1267,5329,4145,77.78
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.0000,1161.6908,0.9000,0.2800,0.0163,0.1278,5329,4149,77.86
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.3000,1228.7888,1.2000,0.2971,0.0220,0.1484,5329,4136,77.61
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.1000,1073.0934,1.0000,0.2717,0.0236,0.1538,5329,3950,74.12
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.2000,1303.0883,1.1000,0.3140,0.0198,0.1409,5329,4150,77.88
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.4000,1353.8903,1.3000,0.3269,0.0222,0.1489,5329,4142,77.73
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.8000,1052.0898,0.7000,0.2538,0.0147,0.1210,5329,4146,77.80
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.3000,1398.4912,1.2000,0.3363,0.0249,0.1577,5329,4158,78.03
