date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.7000,3516.1543,2.6000,0.6781,0.0460,0.2145,5329,5185,97.30
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.9000,3197.0715,2.8000,0.6166,0.0415,0.2038,5329,5185,97.30
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.3000,2817.8948,2.2000,0.5479,0.0366,0.1913,5329,5143,96.51
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.3000,4.4000,3513.0525,4.1000,0.6775,0.0487,0.2207,5329,5185,97.30
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.5000,2449.1929,2.4000,0.4829,0.0292,0.1708,5329,5072,95.18
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,3.1000,3129.2773,3.0000,0.6046,0.0428,0.2069,5329,5176,97.13
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,3.0000,3352.1719,2.9000,0.6471,0.0446,0.2111,5329,5180,97.20
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,3.0000,3406.7603,2.9000,0.6570,0.0441,0.2100,5329,5185,97.30
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.4000,2976.0032,2.3000,0.5746,0.0298,0.1727,5329,5179,97.19
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,3.4000,3241.3694,3.3000,0.6255,0.0465,0.2155,5329,5182,97.24
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.8000,3746.5676,2.7000,0.7227,0.0540,0.2324,5329,5184,97.28
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,5.1000,133.7996,5.0000,0.3027,0.2163,0.4651,5329,442,8.29
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.7000,43.6999,0.6000,0.1293,0.0055,0.0742,5329,338,6.34
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.8000,102.8994,1.7000,0.1547,0.0216,0.1471,5329,665,12.48
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.8000,558.5015,1.7000,0.2646,0.0256,0.1599,5329,2111,39.61
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,4.3000,3360.0735,4.2000,0.7218,0.0503,0.2244,5329,4655,87.35
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.2000,4.1000,3864.5667,3.9000,0.7455,0.0340,0.1845,5329,5184,97.28
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,4.0000,3865.5571,3.9000,0.7478,0.0375,0.1937,5329,5169,97.00
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,3.4000,4360.3384,3.3000,0.8410,0.0391,0.1976,5329,5185,97.30
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.3000,4.0000,4116.4785,3.7000,0.7939,0.0333,0.1825,5329,5185,97.30
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,4.3000,4862.7812,4.0000,0.9382,0.0547,0.2339,5329,5183,97.26
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.3000,4.1000,4719.8843,3.8000,0.9103,0.0545,0.2335,5329,5185,97.30
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.3000,3.9000,5784.9404,3.6000,1.1157,0.0620,0.2490,5329,5185,97.30
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.3000,56.2000,1.2000,0.3365,0.0968,0.3111,5329,167,3.13
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,5.0000,6555.2656,4.8000,1.2643,0.1193,0.3454,5329,5185,97.30
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.5000,5.6000,6996.1646,5.1000,1.3530,0.1450,0.3807,5329,5171,97.04
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,6.1000,7511.7056,5.9000,1.5252,0.2216,0.4707,5329,4925,92.42
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.7000,5.0000,8749.7920,4.3000,1.6875,0.2622,0.5121,5329,5185,97.30
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.5000,6.4000,11234.0059,5.9000,2.1725,0.6253,0.7908,5329,5171,97.04
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.1000,6.8000,11176.7197,6.7000,2.5992,2.1531,1.4673,5329,4300,80.69
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.3000,6.9000,17588.2930,6.6000,3.5036,2.2363,1.4954,5329,5020,94.20
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.2000,6.8000,19202.6328,6.6000,3.9455,1.5836,1.2584,5329,4867,91.33
A2015133,2015-05-13,MCD15A3H,Lai_500m,1.1000,6.8000,20459.1289,5.7000,3.9649,1.1280,1.0621,5329,5160,96.83
