date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.1000,1705.3904,2.0000,0.5217,0.0384,0.1961,5329,3269,61.34
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.7000,160.0000,1.6000,0.7656,0.1865,0.4318,5329,209,3.92
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,6.8000,3269.8064,6.7000,1.2013,1.4597,1.2082,5329,2722,51.08
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,6.8000,6037.9902,6.7000,1.4487,1.7566,1.3254,5329,4168,78.21
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,4.0000,65.8000,3.9000,0.7000,0.5700,0.7550,5329,94,1.76
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,6.8000,9370.0889,6.7000,2.1223,1.7542,1.3245,5329,4415,82.85
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,6.8000,8749.8018,6.7000,2.0798,1.8607,1.3641,5329,4207,78.95
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.5000,40.9000,0.4000,0.2272,0.0034,0.0585,5329,180,3.38
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,0.3000,4.0000,0.2000,0.1333,0.0036,0.0596,5329,30,0.56
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,3.7000,598.5995,3.6000,0.5863,0.2490,0.4990,5329,1021,19.16
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,6.8000,13379.3936,6.7000,2.5587,1.6456,1.2828,5329,5229,98.12
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,6.9000,4221.2017,6.8000,2.1860,1.9826,1.4081,5329,1931,36.24
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.2000,6.9000,10515.7051,6.7000,2.0316,1.8610,1.3642,5329,5176,97.13
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,6.9000,6568.6997,6.8000,1.9348,1.7378,1.3183,5329,3395,63.71
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.2000,6.8000,13869.1582,6.6000,2.6529,1.3721,1.1714,5329,5228,98.10
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.3000,6.8000,16669.8242,6.5000,3.2533,2.1546,1.4678,5329,5124,96.15
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,3.6000,2063.2981,3.5000,0.8155,0.0746,0.2731,5329,2530,47.48
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,6.8000,6534.6987,6.7000,1.6938,1.1186,1.0576,5329,3858,72.40
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,6.1000,845.7992,6.0000,0.6854,0.2264,0.4758,5329,1234,23.16
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.2000,149.5000,4.1000,0.9645,0.5189,0.7204,5329,155,2.91
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.3000,6.5000,3720.7991,6.2000,1.7718,1.4760,1.2149,5329,2100,39.41
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,6.8000,2529.0095,6.7000,1.0494,1.1538,1.0742,5329,2410,45.22
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,6.5000,4582.3081,6.3000,1.5254,1.1210,1.0588,5329,3004,56.37
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,6.8000,5419.4561,6.7000,1.6599,2.4362,1.5608,5329,3265,61.27
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,6.6000,2771.1919,6.5000,1.1215,0.6776,0.8232,5329,2471,46.37
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.5000,6.8000,18270.1953,6.3000,3.5373,1.7271,1.3142,5329,5165,96.92
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.3000,6.8000,16619.6895,6.5000,3.2761,1.0233,1.0116,5329,5073,95.20
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,6.2000,2193.2031,6.1000,0.9018,0.4286,0.6547,5329,2432,45.64
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.1000,5.9000,6088.8018,5.8000,1.2870,0.3460,0.5882,5329,4731,88.78
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.5000,6.8000,16785.7051,6.3000,3.3010,1.4026,1.1843,5329,5085,95.42
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,6.9000,11541.1924,6.8000,2.8122,1.7129,1.3088,5329,4104,77.01
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.4000,6.6000,8424.4268,6.2000,2.0684,0.8099,0.8999,5329,4073,76.43
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.2000,3.1000,66.8000,2.9000,0.6887,0.1245,0.3529,5329,97,1.82
