date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,4.6000,729.0995,4.5000,0.4424,0.1759,0.4194,5329,1648,30.93
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,3.2000,727.7999,3.1000,0.4046,0.1086,0.3295,5329,1799,33.76
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,5.2000,1048.2948,5.1000,0.4542,0.1384,0.3721,5329,2308,43.31
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,1.8000,423.8009,1.7000,0.2594,0.0501,0.2238,5329,1634,30.66
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,4.4000,801.8004,4.3000,0.3415,0.1017,0.3189,5329,2348,44.06
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.7000,1036.8929,2.6000,0.3901,0.0534,0.2311,5329,2658,49.88
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,0.5000,15.7000,0.4000,0.1539,0.0113,0.1063,5329,102,1.91
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,6.0000,714.1995,5.9000,0.3827,0.1947,0.4413,5329,1866,35.02
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.1000,436.9037,1.0000,0.2815,0.0470,0.2168,5329,1552,29.12
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,4.1000,139.4000,4.0000,0.3183,0.1457,0.3818,5329,438,8.22
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.1000,310.5015,2.0000,0.3231,0.0806,0.2838,5329,961,18.03
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,4.7000,510.0012,4.6000,0.3297,0.0835,0.2889,5329,1547,29.03
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.7000,426.2039,2.6000,0.3036,0.0783,0.2798,5329,1404,26.35
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,4.3000,482.6023,4.2000,0.4086,0.2234,0.4726,5329,1181,22.16
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,2.3000,420.3045,2.2000,0.2979,0.0548,0.2340,5329,1411,26.48
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,2.8000,2733.2107,2.7000,0.5603,0.0687,0.2621,5329,4878,91.54
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,3.4000,3614.9907,3.3000,0.7260,0.0957,0.3094,5329,4979,93.43
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,3.7000,3652.9998,3.6000,0.7337,0.0731,0.2703,5329,4979,93.43
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,3.5000,3330.6907,3.4000,0.6691,0.0579,0.2405,5329,4978,93.41
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.7000,2975.8179,1.6000,0.6052,0.0465,0.2156,5329,4917,92.27
