date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.2000,2353.1091,1.1000,0.4809,0.0286,0.1691,5329,4893,91.82
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,1.5000,1188.2958,1.4000,0.4378,0.0445,0.2110,5329,2714,50.93
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,4.4000,1239.5948,4.3000,0.3716,0.0450,0.2120,5329,3336,62.60
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,2.6000,2701.1960,2.5000,0.5630,0.0399,0.1998,5329,4798,90.04
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,0.7000,374.7004,0.6000,0.2104,0.0146,0.1210,5329,1781,33.42
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.0000,476.9001,0.9000,0.2876,0.0291,0.1705,5329,1658,31.11
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.5000,780.2970,1.4000,0.4202,0.0162,0.1274,5329,1857,34.85
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.9000,1085.3964,0.8000,0.3411,0.0210,0.1450,5329,3182,59.71
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.8000,1496.9939,1.7000,0.4154,0.0342,0.1849,5329,3604,67.63
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.3000,1513.8923,2.2000,0.4076,0.0423,0.2057,5329,3714,69.69
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.4000,686.1971,1.3000,0.3864,0.0175,0.1324,5329,1776,33.33
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.1000,194.9004,1.0000,0.3914,0.0154,0.1240,5329,498,9.35
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,0.9000,642.1959,0.8000,0.3890,0.0180,0.1343,5329,1651,30.98
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,1.2000,361.7003,1.1000,0.4584,0.0559,0.2365,5329,789,14.81
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.6000,343.5981,0.5000,0.3147,0.0064,0.0800,5329,1092,20.49
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.8000,1984.5070,1.7000,0.5861,0.0752,0.2743,5329,3386,63.54
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.6000,3473.7419,1.5000,0.6617,0.0299,0.1730,5329,5250,98.52
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.3000,4.4000,4511.1562,4.1000,0.8465,0.0550,0.2346,5329,5329,100.00
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.2000,2.2000,4545.3589,2.0000,0.8536,0.0377,0.1941,5329,5325,99.92
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.2000,2.5000,4115.7119,2.3000,0.7723,0.0518,0.2277,5329,5329,100.00
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.8000,3492.8899,1.7000,0.7115,0.0203,0.1425,5329,4909,92.12
