date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,3.4000,341.0023,3.3000,0.3047,0.0848,0.2911,5329,1119,21.00
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.2000,261.4015,2.1000,0.2851,0.0663,0.2575,5329,917,17.21
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.6000,346.3026,2.5000,0.3195,0.0993,0.3151,5329,1084,20.34
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,3.9000,438.6039,3.8000,0.3050,0.1043,0.3229,5329,1438,26.98
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.8000,404.4029,2.7000,0.3130,0.1022,0.3198,5329,1292,24.24
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,1.4000,503.6102,1.3000,0.2068,0.0470,0.2169,5329,2435,45.69
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.3000,667.7722,2.2000,0.2000,0.0435,0.2086,5329,3339,62.66
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.5000,498.5147,1.4000,0.1532,0.0173,0.1316,5329,3253,61.04
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,5.8000,807.5590,5.7000,0.1628,0.0240,0.1549,5329,4959,93.06
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,1.5000,989.2581,1.4000,0.1915,0.0250,0.1581,5329,5165,96.92
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,1.0000,530.7115,0.9000,0.1384,0.0146,0.1209,5329,3835,71.96
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.4000,328.2071,1.3000,0.1829,0.0272,0.1649,5329,1794,33.66
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,1.1000,158.9008,1.0000,0.2083,0.0258,0.1607,5329,763,14.32
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,0.6000,91.9997,0.5000,0.1825,0.0130,0.1140,5329,504,9.46
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,0.6000,43.9000,0.5000,0.1777,0.0099,0.0995,5329,247,4.64
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,5.9000,383.6078,5.8000,0.1996,0.1058,0.3252,5329,1922,36.07
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,1.2000,745.9872,1.1000,0.1865,0.0134,0.1156,5329,4001,75.08
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,0.2000,310.4100,0.1000,0.1056,0.0005,0.0229,5329,2940,55.17
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.4000,1359.3495,1.3000,0.2647,0.0175,0.1322,5329,5136,96.38
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,1.2000,1227.3650,1.1000,0.2361,0.0147,0.1213,5329,5199,97.56
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,1.7000,1817.1215,1.6000,0.3424,0.0217,0.1472,5329,5307,99.59
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.2000,1938.8568,1.1000,0.3655,0.0200,0.1415,5329,5304,99.53
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,0.9000,1471.1129,0.8000,0.3002,0.0100,0.1001,5329,4900,91.95
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.1000,976.6819,1.0000,0.2530,0.0274,0.1654,5329,3861,72.45
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.2000,2044.4683,1.1000,0.3950,0.0220,0.1484,5329,5176,97.13
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,1.4000,780.9902,1.3000,0.2444,0.0337,0.1836,5329,3195,59.95
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,1.9000,2073.3313,1.8000,0.4152,0.0399,0.1999,5329,4994,93.71
