date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,1.5000,324.6003,1.4000,0.2630,0.0421,0.2053,5329,1234,23.16
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.5000,264.0007,2.4000,0.2426,0.0484,0.2199,5329,1088,20.42
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,2.6000,346.5008,2.5000,0.2840,0.0757,0.2751,5329,1220,22.89
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,0.7000,54.4999,0.6000,0.1405,0.0080,0.0893,5329,388,7.28
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.1000,317.1005,2.0000,0.2578,0.0567,0.2380,5329,1230,23.08
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.1000,366.4011,2.0000,0.2740,0.0537,0.2318,5329,1337,25.09
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,1.2000,329.0011,1.1000,0.2580,0.0398,0.1994,5329,1275,23.93
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,0.1000,2.4000,0.0000,0.1000,0.0000,0.0000,5329,24,0.45
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,1.9000,243.2004,1.8000,0.2427,0.0341,0.1847,5329,1002,18.80
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.2000,359.5010,2.1000,0.2564,0.0576,0.2399,5329,1402,26.31
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.4000,468.9017,2.3000,0.2887,0.0728,0.2699,5329,1624,30.47
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,2.4000,371.1015,2.3000,0.2705,0.0540,0.2324,5329,1372,25.75
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,2.0000,427.8018,1.9000,0.2893,0.0600,0.2449,5329,1479,27.75
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.0000,329.2010,1.9000,0.2685,0.0398,0.1995,5329,1226,23.01
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.4000,198.4006,1.3000,0.2291,0.0290,0.1704,5329,866,16.25
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.9000,426.7020,1.8000,0.2899,0.0515,0.2269,5329,1472,27.62
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.3000,488.2025,2.2000,0.2827,0.0532,0.2307,5329,1727,32.41
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,2.4000,179.3000,2.3000,0.1979,0.0328,0.1810,5329,906,17.00
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,1.5000,639.8016,1.4000,0.2870,0.0467,0.2161,5329,2229,41.83
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,0.6000,197.1009,0.5000,0.1951,0.0122,0.1106,5329,1010,18.95
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.1000,2.7000,784.6996,2.6000,0.2936,0.0602,0.2453,5329,2673,50.16
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.1000,1.8000,844.2961,1.7000,0.2831,0.0437,0.2090,5329,2982,55.96
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.1000,5.3000,540.7044,5.2000,0.2509,0.0790,0.2812,5329,2155,40.44
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.1000,1.6000,475.5052,1.5000,0.2105,0.0176,0.1327,5329,2259,42.39
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.1000,1.5000,975.4009,1.4000,0.3284,0.0407,0.2018,5329,2970,55.73
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.3000,1338.8950,2.2000,0.3839,0.0597,0.2443,5329,3488,65.45
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.1000,3.1000,1797.4031,3.0000,0.4558,0.0977,0.3126,5329,3943,73.99
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.1000,2.7000,991.9020,2.6000,0.3429,0.0665,0.2578,5329,2893,54.29
