date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2015005,2015-01-05,MCD15A3H,Lai_500m,0.1000,2.4000,95.9999,2.3000,0.3299,0.0808,0.2842,5329,291,5.46
A2015009,2015-01-09,MCD15A3H,Lai_500m,0.1000,2.6000,719.3011,2.5000,0.4650,0.1195,0.3457,5329,1547,29.03
A2015013,2015-01-13,MCD15A3H,Lai_500m,0.1000,4.5000,882.4991,4.4000,0.4493,0.1846,0.4297,5329,1964,36.85
A2015017,2015-01-17,MCD15A3H,Lai_500m,0.1000,4.7000,953.1991,4.6000,0.3738,0.1780,0.4219,5329,2550,47.85
A2015021,2015-01-21,MCD15A3H,Lai_500m,0.1000,2.3000,920.6988,2.2000,0.3270,0.1173,0.3425,5329,2816,52.84
A2015025,2015-01-25,MCD15A3H,Lai_500m,0.1000,2.1000,1557.5830,2.0000,0.3377,0.0953,0.3086,5329,4613,86.56
A2015029,2015-01-29,MCD15A3H,Lai_500m,0.1000,2.6000,1860.3622,2.5000,0.3767,0.0878,0.2962,5329,4939,92.68
A2015033,2015-02-02,MCD15A3H,Lai_500m,0.1000,1.9000,769.1920,1.8000,0.2291,0.0406,0.2014,5329,3357,62.99
A2015037,2015-02-06,MCD15A3H,Lai_500m,0.1000,2.0000,2195.0852,1.9000,0.4335,0.1013,0.3183,5329,5064,95.03
A2015041,2015-02-10,MCD15A3H,Lai_500m,0.1000,2.1000,1865.4602,2.0000,0.3712,0.0580,0.2409,5329,5025,94.30
A2015045,2015-02-14,MCD15A3H,Lai_500m,0.1000,2.0000,458.8039,1.9000,0.1790,0.0249,0.1578,5329,2563,48.10
A2015049,2015-02-18,MCD15A3H,Lai_500m,0.1000,1.2000,368.8010,1.1000,0.2278,0.0430,0.2074,5329,1619,30.38
A2015053,2015-02-22,MCD15A3H,Lai_500m,0.1000,3.9000,1235.4775,3.8000,0.2897,0.0650,0.2550,5329,4265,80.03
A2015057,2015-02-26,MCD15A3H,Lai_500m,0.1000,2.9000,373.2019,2.8000,0.2470,0.0575,0.2397,5329,1511,28.35
A2015061,2015-03-02,MCD15A3H,Lai_500m,0.1000,1.7000,507.6047,1.6000,0.2504,0.0372,0.1928,5329,2027,38.04
A2015065,2015-03-06,MCD15A3H,Lai_500m,0.1000,1.9000,2245.7966,1.8000,0.4631,0.0670,0.2588,5329,4849,90.99
A2015069,2015-03-10,MCD15A3H,Lai_500m,0.1000,2.0000,2483.5942,1.9000,0.4901,0.0965,0.3106,5329,5068,95.10
A2015073,2015-03-14,MCD15A3H,Lai_500m,0.1000,1.3000,1622.5732,1.2000,0.3190,0.0535,0.2314,5329,5086,95.44
A2015077,2015-03-18,MCD15A3H,Lai_500m,0.1000,2.5000,3331.6025,2.4000,0.6273,0.1214,0.3484,5329,5311,99.66
A2015081,2015-03-22,MCD15A3H,Lai_500m,0.1000,4.8000,2904.5024,4.7000,0.5878,0.1245,0.3529,5329,4941,92.72
A2015085,2015-03-26,MCD15A3H,Lai_500m,0.2000,2.3000,3706.8799,2.1000,0.6969,0.1368,0.3699,5329,5319,99.81
A2015089,2015-03-30,MCD15A3H,Lai_500m,0.2000,1.6000,3193.5066,1.4000,0.5999,0.1021,0.3196,5329,5323,99.89
A2015093,2015-04-03,MCD15A3H,Lai_500m,0.2000,1.9000,3487.1846,1.7000,0.6550,0.0873,0.2955,5329,5324,99.91
A2015097,2015-04-07,MCD15A3H,Lai_500m,0.2000,1.6000,3788.6621,1.4000,0.7116,0.0906,0.3009,5329,5324,99.91
A2015101,2015-04-11,MCD15A3H,Lai_500m,0.2000,1.8000,3971.1677,1.6000,0.7459,0.1118,0.3343,5329,5324,99.91
A2015105,2015-04-15,MCD15A3H,Lai_500m,0.1000,2.8000,1739.8138,2.7000,0.4285,0.0490,0.2213,5329,4060,76.19
A2015109,2015-04-19,MCD15A3H,Lai_500m,0.2000,3.2000,4323.7905,3.0000,0.8121,0.1092,0.3305,5329,5324,99.91
A2015113,2015-04-23,MCD15A3H,Lai_500m,0.2000,2.5000,4139.4854,2.3000,0.7874,0.1289,0.3590,5329,5257,98.65
A2015117,2015-04-27,MCD15A3H,Lai_500m,0.2000,2.6000,4644.6953,2.4000,0.8724,0.1369,0.3701,5329,5324,99.91
A2015121,2015-05-01,MCD15A3H,Lai_500m,0.3000,3.3000,5351.0273,3.0000,1.0051,0.1394,0.3733,5329,5324,99.91
A2015125,2015-05-05,MCD15A3H,Lai_500m,0.1000,3.6000,3895.3059,3.5000,0.8487,0.0987,0.3142,5329,4590,86.13
A2015129,2015-05-09,MCD15A3H,Lai_500m,0.1000,2.2000,2732.4731,2.1000,0.6399,0.0824,0.2871,5329,4270,80.13
A2015133,2015-05-13,MCD15A3H,Lai_500m,0.3000,3.7000,4355.7827,3.4000,0.9228,0.1215,0.3486,5329,4720,88.57
A2015137,2015-05-17,MCD15A3H,Lai_500m,0.3000,3.1000,5013.9014,2.8000,0.9541,0.1154,0.3397,5329,5255,98.61
A2015141,2015-05-21,MCD15A3H,Lai_500m,0.4000,2.2000,5505.5166,1.8000,1.0341,0.0878,0.2963,5329,5324,99.91
A2015145,2015-05-25,MCD15A3H,Lai_500m,0.1000,6.8000,3356.9031,6.7000,0.7869,0.2861,0.5349,5329,4266,80.05
A2015149,2015-05-29,MCD15A3H,Lai_500m,0.3000,5.6000,7364.1279,5.3000,1.3858,0.1739,0.4170,5329,5314,99.72
A2015153,2015-06-02,MCD15A3H,Lai_500m,0.4000,5.9000,8287.8115,5.5000,1.5573,0.4736,0.6882,5329,5322,99.87
A2015157,2015-06-06,MCD15A3H,Lai_500m,0.5000,6.5000,10043.7168,6.0000,1.8893,0.7099,0.8426,5329,5316,99.76
A2015161,2015-06-10,MCD15A3H,Lai_500m,0.6000,6.7000,9451.7178,6.1000,1.8180,0.4898,0.6998,5329,5199,97.56
A2015165,2015-06-14,MCD15A3H,Lai_500m,0.2000,6.8000,9931.3193,6.6000,2.0376,0.7430,0.8620,5329,4874,91.46
A2015169,2015-06-18,MCD15A3H,Lai_500m,0.5000,6.8000,12454.5273,6.3000,2.3606,1.5083,1.2281,5329,5276,99.01
A2015173,2015-06-22,MCD15A3H,Lai_500m,0.2000,6.9000,11776.5928,6.7000,2.3492,1.2072,1.0987,5329,5013,94.07
A2015177,2015-06-26,MCD15A3H,Lai_500m,0.3000,6.9000,13919.4775,6.6000,2.7277,1.7572,1.3256,5329,5103,95.76
A2015181,2015-06-30,MCD15A3H,Lai_500m,0.5000,6.9000,12432.6836,6.4000,2.4722,1.2842,1.1332,5329,5029,94.37
A2015185,2015-07-04,MCD15A3H,Lai_500m,0.1000,6.9000,11978.3066,6.8000,2.3710,1.8121,1.3462,5329,5052,94.80
A2015189,2015-07-08,MCD15A3H,Lai_500m,0.3000,6.9000,12320.1924,6.6000,2.3867,1.6847,1.2980,5329,5162,96.87
A2015193,2015-07-12,MCD15A3H,Lai_500m,0.5000,6.8000,11649.3027,6.3000,2.3201,1.7043,1.3055,5329,5021,94.22
A2015197,2015-07-16,MCD15A3H,Lai_500m,0.3000,6.9000,11064.2207,6.6000,2.1983,1.1930,1.0922,5329,5033,94.45
A2015201,2015-07-20,MCD15A3H,Lai_500m,0.3000,6.8000,11763.4736,6.5000,2.2570,1.5300,1.2369,5329,5212,97.80
A2015205,2015-07-24,MCD15A3H,Lai_500m,0.3000,6.8000,9973.1289,6.5000,2.0180,1.1917,1.0917,5329,4942,92.74
A2015209,2015-07-28,MCD15A3H,Lai_500m,0.4000,6.8000,11507.4932,6.4000,2.1882,1.7344,1.3170,5329,5259,98.69
A2015213,2015-08-01,MCD15A3H,Lai_500m,0.5000,6.8000,9847.4639,6.3000,1.8786,0.9863,0.9931,5329,5242,98.37
A2015217,2015-08-05,MCD15A3H,Lai_500m,0.3000,6.5000,9441.0947,6.2000,1.8024,1.1762,1.0845,5329,5238,98.29
