,startime,endtime,latitude,longitude,product,email,filenickname,abovebelowkm,leftrightkm,origName
0,2015-01-01,2021-01-01,60.72,-150.45,MCD15A3H,landcovermodis@gmail.com,AKK2E,18,18,AK_Kenai_29_ENE
1,2015-01-01,2021-01-01,30.55,-87.88,MCD15A3H,landcovermodis@gmail.com,ALF3N,18,18,AL_Fairhope_3_NE
2,2015-01-01,2021-01-01,34.29,-85.96,MCD15A3H,landcovermodis@gmail.com,ALG1N,18,18,AL_Gadsden_19_N
3,2015-01-01,2021-01-01,32.46,-87.24,MCD15A3H,landcovermodis@gmail.com,ALS1W,18,18,AL_Selma_13_WNW
4,2015-01-01,2021-01-01,35.82,-91.78,MCD15A3H,landcovermodis@gmail.com,ARB8W,18,18,AR_Batesville_8_WNW
5,2015-01-01,2021-01-01,31.59,-110.51,MCD15A3H,landcovermodis@gmail.com,AZE5S,18,18,AZ_Elgin_5_S
6,2015-01-01,2021-01-01,32.24,-111.17,MCD15A3H,landcovermodis@gmail.com,AZT1W,18,18,AZ_Tucson_11_W
7,2015-01-01,2021-01-01,35.76,-112.34,MCD15A3H,landcovermodis@gmail.com,AZW3N,18,18,AZ_Williams_35_NNW
8,2015-01-01,2021-01-01,32.84,-114.19,MCD15A3H,landcovermodis@gmail.com,AZY2E,18,18,AZ_Yuma_27_ENE
9,2015-01-01,2021-01-01,38.32,-123.07,MCD15A3H,landcovermodis@gmail.com,CAB6W,18,18,CA_Bodega_6_WSW
10,2015-01-01,2021-01-01,33.44,-117.19,MCD15A3H,landcovermodis@gmail.com,CAF5N,18,18,CA_Fallbrook_5_NE
11,2015-01-01,2021-01-01,37.24,-120.88,MCD15A3H,landcovermodis@gmail.com,CAM2W,18,18,CA_Merced_23_WSW
12,2015-01-01,2021-01-01,40.65,-122.61,MCD15A3H,landcovermodis@gmail.com,CAR1W,18,18,CA_Redding_12_WNW
13,2015-01-01,2021-01-01,34.41,-119.88,MCD15A3H,landcovermodis@gmail.com,CASB1W,18,18,CA_Santa_Barbara_11_W
14,2015-01-01,2021-01-01,36.6,-117.14,MCD15A3H,landcovermodis@gmail.com,CASW1S,18,18,CA_Stovepipe_Wells_1_SW
15,2015-01-01,2021-01-01,37.76,-119.82,MCD15A3H,landcovermodis@gmail.com,CAYV1W,18,18,CA_Yosemite_Village_12_W
16,2015-01-01,2021-01-01,40.04,-105.54,MCD15A3H,landcovermodis@gmail.com,COB1W,18,18,CO_Boulder_14_W
17,2015-01-01,2021-01-01,37.26,-108.5,MCD15A3H,landcovermodis@gmail.com,COC8S,18,18,CO_Cortez_8_SE
18,2015-01-01,2021-01-01,40.24,-108.97,MCD15A3H,landcovermodis@gmail.com,COD2E,18,18,CO_Dinosaur_2_E
19,2015-01-01,2021-01-01,37.86,-103.82,MCD15A3H,landcovermodis@gmail.com,COLJ1W,18,18,CO_La_Junta_17_WSW
20,2015-01-01,2021-01-01,38.54,-107.69,MCD15A3H,landcovermodis@gmail.com,COM1E,18,18,CO_Montrose_11_ENE
21,2015-01-01,2021-01-01,40.81,-104.76,MCD15A3H,landcovermodis@gmail.com,CON7N,18,18,CO_Nunn_7_NNE
22,2015-01-01,2021-01-01,25.9,-81.32,MCD15A3H,landcovermodis@gmail.com,FLEC5N,18,18,FL_Everglades_City_5_NE
23,2015-01-01,2021-01-01,27.15,-81.37,MCD15A3H,landcovermodis@gmail.com,FLS2S,18,18,FL_Sebring_23_SSE
24,2015-01-01,2021-01-01,28.62,-80.69,MCD15A3H,landcovermodis@gmail.com,FLT7E,18,18,FL_Titusville_7_E
25,2015-01-01,2021-01-01,30.81,-81.46,MCD15A3H,landcovermodis@gmail.com,GAB2S,18,18,GA_Brunswick_23_S
26,2015-01-01,2021-01-01,31.19,-84.45,MCD15A3H,landcovermodis@gmail.com,GAN1S,18,18,GA_Newton_11_SW
27,2015-01-01,2021-01-01,31.31,-84.47,MCD15A3H,landcovermodis@gmail.com,GAN8W,18,18,GA_Newton_8_W
28,2015-01-01,2021-01-01,33.78,-83.39,MCD15A3H,landcovermodis@gmail.com,GAW5S,18,18,GA_Watkinsville_5_SSE
29,2015-01-01,2021-01-01,41.56,-93.29,MCD15A3H,landcovermodis@gmail.com,IADM1E,18,18,IA_Des_Moines_17_E
30,2015-01-01,2021-01-01,43.46,-113.56,MCD15A3H,landcovermodis@gmail.com,IDA1S,18,18,ID_Arco_17_SW
31,2015-01-01,2021-01-01,43.2,-116.75,MCD15A3H,landcovermodis@gmail.com,IDM1W,18,18,ID_Murphy_10_W
32,2015-01-01,2021-01-01,40.05,-88.37,MCD15A3H,landcovermodis@gmail.com,ILC9S,18,18,IL_Champaign_9_SW
33,2015-01-01,2021-01-01,41.84,-88.85,MCD15A3H,landcovermodis@gmail.com,ILS5N,18,18,IL_Shabbona_5_NNE
34,2015-01-01,2021-01-01,38.89,-86.57,MCD15A3H,landcovermodis@gmail.com,INB5W,18,18,IN_Bedford_5_WNW
35,2015-01-01,2021-01-01,39.1,-96.61,MCD15A3H,landcovermodis@gmail.com,KSM6S,18,18,KS_Manhattan_6_SSW
36,2015-01-01,2021-01-01,38.87,-100.96,MCD15A3H,landcovermodis@gmail.com,KSO1S,18,18,KS_Oakley_19_SSW
37,2015-01-01,2021-01-01,37.25,-86.23,MCD15A3H,landcovermodis@gmail.com,KYBG2N,18,18,KY_Bowling_Green_21_NNE
38,2015-01-01,2021-01-01,38.09,-84.75,MCD15A3H,landcovermodis@gmail.com,KYV3N,18,18,KY_Versailles_3_NNW
39,2015-01-01,2021-01-01,30.09,-91.87,MCD15A3H,landcovermodis@gmail.com,LAL1S,18,18,LA_Lafayette_13_SE
40,2015-01-01,2021-01-01,32.88,-92.12,MCD15A3H,landcovermodis@gmail.com,LAM2N,18,18,LA_Monroe_26_N
41,2015-01-01,2021-01-01,46.96,-67.88,MCD15A3H,landcovermodis@gmail.com,MEL4N,18,18,ME_Limestone_4_NNW
42,2015-01-01,2021-01-01,44.93,-68.7,MCD15A3H,landcovermodis@gmail.com,MEOT2W,18,18,ME_Old_Town_2_W
43,2015-01-01,2021-01-01,46.33,-86.92,MCD15A3H,landcovermodis@gmail.com,MIC1S,18,18,MI_Chatham_1_SE
44,2015-01-01,2021-01-01,44.91,-84.72,MCD15A3H,landcovermodis@gmail.com,MIG9S,18,18,MI_Gaylord_9_SSW
45,2015-01-01,2021-01-01,48.31,-95.87,MCD15A3H,landcovermodis@gmail.com,MNG1N,18,18,MN_Goodridge_12_NNW
46,2015-01-01,2021-01-01,46.11,-92.99,MCD15A3H,landcovermodis@gmail.com,MNS6W,18,18,MN_Sandstone_6_W
47,2015-01-01,2021-01-01,39.87,-93.15,MCD15A3H,landcovermodis@gmail.com,MOC2E,18,18,MO_Chillicothe_22_ENE
48,2015-01-01,2021-01-01,37.43,-94.58,MCD15A3H,landcovermodis@gmail.com,MOJ2N,18,18,MO_Joplin_24_N
49,2015-01-01,2021-01-01,37.63,-91.72,MCD15A3H,landcovermodis@gmail.com,MOS1W,18,18,MO_Salem_10_W
50,2015-01-01,2021-01-01,34.82,-89.43,MCD15A3H,landcovermodis@gmail.com,MSHS4N,18,18,MS_Holly_Springs_4_N
51,2015-01-01,2021-01-01,32.34,-89.07,MCD15A3H,landcovermodis@gmail.com,MSN5E,18,18,MS_Newton_5_ENE
52,2015-01-01,2021-01-01,45.16,-113.01,MCD15A3H,landcovermodis@gmail.com,MTD1W,18,18,MT_Dillon_18_WSW
53,2015-01-01,2021-01-01,46.88,-110.29,MCD15A3H,landcovermodis@gmail.com,MTL4W,18,18,MT_Lewistown_42_WSW
54,2015-01-01,2021-01-01,48.74,-113.43,MCD15A3H,landcovermodis@gmail.com,MTSM1S,18,18,MT_St._Mary_1_SSW
55,2015-01-01,2021-01-01,48.31,-105.1,MCD15A3H,landcovermodis@gmail.com,MTWP2E,18,18,MT_Wolf_Point_29_ENE
56,2015-01-01,2021-01-01,48.49,-105.21,MCD15A3H,landcovermodis@gmail.com,MTWP3N,18,18,MT_Wolf_Point_34_NE
57,2015-01-01,2021-01-01,35.42,-82.56,MCD15A3H,landcovermodis@gmail.com,NCA1S,18,18,NC_Asheville_13_S
58,2015-01-01,2021-01-01,35.49,-82.61,MCD15A3H,landcovermodis@gmail.com,NCA8S,18,18,NC_Asheville_8_SSW
59,2015-01-01,2021-01-01,35.97,-79.09,MCD15A3H,libonaniup@gmail.com,NCD1W,18,18,NC_Durham_11_W
60,2015-01-01,2021-01-01,46.77,-99.48,MCD15A3H,libonaniup@gmail.com,NDJ3W,18,18,ND_Jamestown_38_WSW
61,2015-01-01,2021-01-01,46.89,-103.38,MCD15A3H,libonaniup@gmail.com,NDM7E,18,18,ND_Medora_7_E
62,2015-01-01,2021-01-01,48.97,-102.17,MCD15A3H,libonaniup@gmail.com,NDN5E,18,18,ND_Northgate_5_ESE
63,2015-01-01,2021-01-01,42.42,-103.74,MCD15A3H,libonaniup@gmail.com,NEH2S,18,18,NE_Harrison_20_SSE
64,2015-01-01,2021-01-01,40.7,-96.85,MCD15A3H,libonaniup@gmail.com,NEL1S,18,18,NE_Lincoln_11_SW
65,2015-01-01,2021-01-01,40.85,-96.57,MCD15A3H,libonaniup@gmail.com,NEL8E,18,18,NE_Lincoln_8_ENE
66,2015-01-01,2021-01-01,42.07,-101.44,MCD15A3H,libonaniup@gmail.com,NEW5E,18,18,NE_Whitman_5_ENE
67,2015-01-01,2021-01-01,43.17,-70.93,MCD15A3H,libonaniup@gmail.com,NHD2N,18,18,NH_Durham_2_N
68,2015-01-01,2021-01-01,43.11,-70.95,MCD15A3H,libonaniup@gmail.com,NHD2S,18,18,NH_Durham_2_SSW
69,2015-01-01,2021-01-01,32.61,-106.74,MCD15A3H,libonaniup@gmail.com,NMLC2N,18,18,NM_Las_Cruces_20_N
70,2015-01-01,2021-01-01,35.86,-106.52,MCD15A3H,libonaniup@gmail.com,NMLA1W,18,18,NM_Los_Alamos_13_W
71,2015-01-01,2021-01-01,34.36,-106.89,MCD15A3H,libonaniup@gmail.com,NMS2N,18,18,NM_Socorro_20_N
72,2015-01-01,2021-01-01,39.01,-114.21,MCD15A3H,libonaniup@gmail.com,NVB5W,18,18,NV_Baker_5_W
