,sitename,site_ID,links
0,AK_Kenai_29_ENE,site_0,https://modis.ornl.gov/subsetdata/04Jan2021_14:27:34_809225945L60.72L-150.45S17L17_MCD15A3H_site_0/csv/12q1.csv
1,AL_Fairhope_3_NE,site_1,https://modis.ornl.gov/subsetdata/04Jan2021_14:27:48_511086691L30.55L-87.88S17L17_MCD15A3H_site_1/csv/12q1.csv
2,AL_Gadsden_19_N,site_2,https://modis.ornl.gov/subsetdata/04Jan2021_14:27:53_134693961L34.29L-85.96S17L17_MCD15A3H_site_2/csv/12q1.csv
3,AL_Selma_13_WNW,site_3,https://modis.ornl.gov/subsetdata/04Jan2021_14:27:57_810716675L32.46L-87.24S17L17_MCD15A3H_site_3/csv/12q1.csv
4,AR_Batesville_8_WNW,site_4,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:05_756821982L35.82L-91.78S17L17_MCD15A3H_site_4/csv/12q1.csv
5,AZ_Elgin_5_S,site_5,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:16_616822255L31.59L-110.51S17L17_MCD15A3H_site_5/csv/12q1.csv
6,AZ_Tucson_11_W,site_6,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:23_105136629L32.24L-111.17S17L17_MCD15A3H_site_6/csv/12q1.csv
7,AZ_Williams_35_NNW,site_7,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:27_711677783L35.76L-112.34S17L17_MCD15A3H_site_7/csv/12q1.csv
8,AZ_Yuma_27_ENE,site_8,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:38_984211447L32.84L-114.19S17L17_MCD15A3H_site_8/csv/12q1.csv
9,CA_Bodega_6_WSW,site_9,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:44_943945046L38.32L-123.07S17L17_MCD15A3H_site_9/csv/12q1.csv
10,CA_Fallbrook_5_NE,site_10,https://modis.ornl.gov/subsetdata/04Jan2021_14:28:56_242562356L33.44L-117.19S17L17_MCD15A3H_site_10/csv/12q1.csv
11,CA_Merced_23_WSW,site_11,https://modis.ornl.gov/subsetdata/04Jan2021_14:29:07_099588457L37.24L-120.88S17L17_MCD15A3H_site_11/csv/12q1.csv
12,CA_Redding_12_WNW,site_12,https://modis.ornl.gov/subsetdata/04Jan2021_14:29:18_192714738L40.65L-122.61S17L17_MCD15A3H_site_12/csv/12q1.csv
13,CA_Santa_Barbara_11_W,site_13,https://modis.ornl.gov/subsetdata/04Jan2021_14:29:23_092454812L34.41L-119.88S17L17_MCD15A3H_site_13/csv/12q1.csv
14,CA_Stovepipe_Wells_1_SW,site_14,https://modis.ornl.gov/subsetdata/04Jan2021_14:29:31_992310351L36.6L-117.14S17L17_MCD15A3H_site_14/csv/12q1.csv
